"Name_of_Satellite,_Alternate_Names"	Country/Org_of_UN_Registry	Country_of_Operator_Owner	Operator_Owner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Type_of_Orbit	Longitude_of_GEO_(degrees)	Perigee_(km)	Apogee_(km)	Eccentricity	Inclination_(degrees)	Period_(minutes)	Launch_Mass_(kg.)	Dry_Mass_(kg.)	Power_(watts)	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	COSPAR_Number	NORAD_Number	Comments		Source_Used_for_Orbital_Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																											
"COSMIC-E_(Formosat-3E,_Constellation_Observing_System_for_Meteorology,_Ionosphere_and_Climate)"	NR	Taiwan/USA	"National_Space_Program_Office_(NSPO)/University_Corporation_for_Atmospheric_Research_(UCAR)_Boulder,_CO"	Government/Civil	Earth_Observation	Meteorology	LEO	Polar	0	751	849	6.83E-03	72	100.9	70		46	2006/4/15	2_yrs.	Orbital_Sciences_Corp.	USA	Vandenberg_AFB	Minotaur	2006-011E	29051	Åg._._._Provide_atmospheric_data_daily_in_real_time_over_thousands_of_points_on_Earth_for_both_research_and_operational_weather_forecasting_by_measuring_the_bending_of_radio_signals_from_the_U.S._Global_Positioning_System_(GPS)_as_the_signals_pass_through_Earth's_atmosphere.Åh		www.satellitedebris.net_12/12	http://www.orbital.com/SatellitesSpace/LEO/FORMOSAT-3/index.html	http://www.ucar.edu/news/releases/2006/cosmic.shtml	http://www.lib.cas.cz/www/space.40/2006/011B.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx630.html																																																																																																																																																																																																																													
"COSMIC-F_(Formosat-3F,_Constellation_Observing_System_for_Meteorology,_Ionosphere_and_Climate)"	NR	Taiwan/USA	"National_Space_Program_Office_(NSPO)/University_Corporation_for_Atmospheric_Research_(UCAR)_Boulder,_CO"	Government/Civil	Earth_Observation	Meteorology	LEO	Polar	0	772	828	3.91E-03	72	100.9	70		46	2006/4/15	2_yrs.	Orbital_Sciences_Corp.	USA	Vandenberg_AFB	Minotaur	2006-011F	29052	Åg._._._Provide_atmospheric_data_daily_in_real_time_over_thousands_of_points_on_Earth_for_both_research_and_operational_weather_forecasting_by_measuring_the_bending_of_radio_signals_from_the_U.S._Global_Positioning_System_(GPS)_as_the_signals_pass_through_Earth's_atmosphere.Åh		www.satellitedebris.net_12/12	http://www.orbital.com/SatellitesSpace/LEO/FORMOSAT-3/index.html	http://www.ucar.edu/news/releases/2006/cosmic.shtml	http://www.lib.cas.cz/www/space.40/2006/011B.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx630.html																																																																																																																																																																																																																													
Cosmos_2504	NR	Russia	Ministry_of_Defense	Military	Technology_Development		LEO	Polar	0	"1,171"	"1,504"	2.16E-02	82.4	112.41				2015/3/31		Reshetnev	Russia	Plesetsk_Cosmodrome	Rokot	2015-020D	40555	Unknown_purpose;_displays_high_maneuverability._		JM/8_15	http://www.eutimes.net/2015/07/pentagon-alarmed-with-russias-military-satellite-maneuvering-too-much/																																																																																																																																																																																																																																
COSMO-Skymed_1_(Constellation_of_small_Satellites_for_Mediterranean_basin_Observation)	Italy	Italy	Italian_Space_Agency/Ministry_of_Defense	Military/Civil	Earth_Observation	Radar_Imaging	LEO	Sun-Synchronous	0	622	623	7.15E-05	97.9	97.2	"1,700"		"3,600"	2007/6/8	5_yrs.	Thales_Alenia_Space	France/Italy	Vandenberg_AFB	Delta_7000	2007-023A	31598	"To_be_part_of_4-satellite_constellation;_radar_imager,_collect_data_on_floods,_droughts,_earthquakes_and_landslides;_Militaryapplications."		www.satellitedebris.net_12/12	http://www.faa.gov/data_statistics/commercial_space_data/launch_details/index.cfm?launchId=462	http://www.lib.cas.cz/knav/space.40/2007/023A.HTM	http://directory.eoportal.org/pres_COSMOSkyMedConstellationof4SARSatellites.html																																																																																																																																																																																																																														
COSMO-Skymed_2_(Constellation_of_small_Satellites_for_Mediterranean_basin_Observation)	Italy	Italy	Italian_Space_Agency/Ministry_of_Defense	Military/Government	Earth_Observation	Radar_Imaging	LEO	Sun-Synchronous	0	622	623	7.15E-05	97.9	97.2	"1,700"			2007/12/9	5_yrs.	Thales?Alenia?Space	Italy	Vandenberg_AFB	Delta_2	2007-059A	32376	Earth_imaging;_synthetic_aperture_radar_(SAR)_operating_in_X-band.		www.satellitedebris.net_12/12	http://directory.eoportal.org/pres_COSMOSkyMedConstellationof4SARSatellites.html	http://www.lib.cas.cz/space.40/2007/059A.HTM																																																																																																																																																																																																																															
COSMO-Skymed_3_(Constellation_of_small_Satellites_for_Mediterranean_basin_Observation)	Italy	Italy	Italian_Space_Agency/Ministry_of_Defense	Military/Government	Earth_Observation	Radar_Imaging	LEO	Sun-Synchronous	0	622	623	7.15E-05	97.9	97.2	"1,700"			2008/10/25	5_yrs.	Thales?Alenia?Space	Italy	Vandenberg_AFB	Delta_7420	2008-054A	33412	"Earth_imaging;_synthetic_aperture_radar_(SAR)_operating_in_X-band,_focus_on_Mediterranean_security."		www.satellitedebris.net_12/12	http://directory.eoportal.org/pres_COSMOSkyMedConstellationof4SARSatellites.html	http://www.lib.cas.cz/space.40/2008/I065B.HTM																																																																																																																																																																																																																															
COSMO-Skymed_4_(Constellation_of_small_Satellites_for_Mediterranean_basin_Observation)	Italy	Italy	Italian_Space_Agency/Ministry_of_Defense	Military/Government	Earth_Observation	Radar_Imaging	LEO	Sun-Synchronous	0	622	623	7.15E-05	97.9	97.2	"1,700"			2010/11/6	5_yrs.	Thales?Alenia?Space	Italy	Vandenberg_AFB	Delta_2	2010-060A	37216	"Earth_imaging;_synthetic_aperture_radar_(SAR)_operating_in_X-band,_focus_on_Mediterranean_security."		www.satellitedebris.net_12/12	http://directory.eoportal.org/pres_COSMOSkyMedConstellationof4SARSatellites.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx685.html	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/060A.HTM																																																																																																																																																																																																																														
CP-10_(Exocube)	NR	USA	California_Polytechnic_State_University/NASA_JPL	Civil	Earth_Observation	Earth_Science	LEO	Elliptical	0	441	657	1.56E-02	99.1	95.6	4			2015/1/31		California_Polytechnic_University/NASA_JPL	USA	Vandenberg_AFB	Delta_2	2015-003E	40380	Measuring_the_Elemental_Composition_of_the_Exosphere			http://polysat.calpoly.edu/launched-missions/cp10-exocube/	https://sites.google.com/a/slu.edu/swartwout/home/cubesat-database																																																																																																																																																																																																																															
Cryosat-2_	ESA	ESA	European_Space_Agency_(ESA)	Government	Earth_Observation	Radar_Imaging	LEO	Polar	0	713	724	7.76E-04	92	99.2	720			2010/4/8	3_yrs.	EADS_Astrium	France/UK/Germany/Spain	Baikonur_Cosmodrome	Dnepr	2010-013A	36508	"Remote_sensing,_part_of_ESA's_ice_mission._Will_measure_polar_ice_for_three_years._Spacecraft_has_no_solar_panels."		www.satellitedebris.net_12/12	http://www.esa.int/esaLP/ESASOM1VMOC_LPcryosat_0.html	http://www.lib.cas.cz/space.40/2010/013A.HTM																																																																																																																																																																																																																															
CSSWE_(Colorado_Student_Space_Weather_Experiment)	USA	USA	University_of_Colorado	Civil	Earth_Science		LEO	Non-Polar_Inclined	0	479	791	2.23E-02	64.6	97.4	3			2012/9/13	1_yr.	University_of_Colorado	USA	Vandenberg_AFB	Atlas_5	2012-048D	38761	Studies_of_the_relationship_between_solar_flares_and_energetic_particles_in_the_Earth's_radiation_belts.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2-1#emd																																																																																																																																																																																																																																
Cubebug_1??(Capit?n_Beto)	Argentina	Argentina	"Argentinian_Ministry_of_Science,_Technology_and_Productive_Innovation/Radio_Club_Bariloche"	Civil	Technology_Development		LEO	Sun-Synchronous	0	630	653	1.64E-03	98.05	97.55	2			2013/4/26		"Argentinian_Ministry_of_Science,_Technology_and_Productive_Innovation"	Argentina	Jiuquan_Satellite_Launch_Center	CZ-2D	2013-018D	39153	Technology_development_of_new_platform._Turned_over_for_amateur_use_when_technology_demonstration_completed.		SC_-_ASCR	http://www.pe0sat.vgnet.nl/satellite/cube-nano-picosats/cubebug-1/	http://www.southgatearc.org/news/april2013/cubebug_1_reaches_orbit.htm#.Uajakpx0nm0																																																																																																																																																																																																																															
"Cubebug_2_(Manolito,_LO-74)"	NR	Argentina	"Argentinian_Ministry_of_Science,_Technology_and_Productive_Innovation/Radio_Club_Bariloche"	Civil	Technology_Development		LEO	Sun-Synchronous	0	594	715	8.61E-03	97.8	97.8	2			2013/11/21		"Argentinian_Ministry_of_Science,_Technology_and_Productive_Innovation"	Argentina	Dombarovsky_Air_Base	Dnepr	2013-066AA	39440	Amateur_radio_satellite.		ZARYA	http://2.cubebug.org/																																																																																																																																																																																																																																
"Cubesat_XI-IV_(Oscar_57,_CO-57)"	Japan	Japan	"Department_of_Astronautics,_University_of_Tokyo"	Civil	Technology_Development		LEO	Sun-Synchronous	0	815	830	1.04E-03	98.7	101.3		1		2003/6/30		"Department_of_Astronautics,_University_of_Tokyo"	Japan	Plesetsk_Cosmodrome	Dnepr	2003-031J	27848	On-orbit_verification_of_the_super_small_satellite_(nano-satellite)_bus_system_using_commercial-off-the-shell_components.		www.satellitedebris.net_12/12		http://nssdc.gsfc.nasa.gov/spacewarn/spx597.html	http://www.space.t.u-tokyo.ac.jp/cubesat/mission/operation/index-e.html																																																																																																																																																																																																																														
CUSat-1_(Cornell_University_Satellite_1)	NR	USA	"Space_Systems_Design_Studio,_Cornell_University"	Civil	Technology_Development		LEO	Polar	0	326	"1,465"	7.84E-02	80.99	102.89			2.2	2013/9/29	.5_yrs.	"Space_Systems_Design_Studio,_Cornell_University"	USA	Vandenberg_AFB	Falcon_9	2013-055B	39266	"A_multi-year_effort_to_design,_build,_and_launch_an_autonomous_in-orbit_inspection_satellite_system."		SC_-_ASCR	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2013/053A.HTM	http://cusat.cornell.edu/																																																																																																																																																																																																																															
"Daichi-2_(Advanced_Land_Observing_Satellite-2,_ALOS_2_2)"	NR	Japan	Japan_Aerospace_Exploration_Agency_(JAXA)	Government	Earth_Observation	Radar_Imaging	LEO	Sun-Synchronous	0	630	635	3.57E-04	97.88	97.36	"2,120"		"5,200"	2014/5/24	7_yrs.	Mitsubishi_Electric	Japan	Tanegashima_Space_Center	H-2A	2014-029A	39766	Follow-on_to_ALOS-1_mission.		ZARYA	https://directory.eoportal.org/web/eoportal/satellite-missions/a/alos-2	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://www.mitsubishielectric.com/news/2014/0523.html																																																																																																																																																																																																																														
